2025-07-17 11:28:05 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:28:05 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:28:05 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:30:10 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 11:30:10 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 11:30:10 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:30:10 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:30:10 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 13:31:24 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 13:31:24 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 13:31:24 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 13:31:24 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 13:31:24 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 13:34:52 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 13:34:52 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 13:34:52 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
